Rank|ChatMessage
Platinum|play nice good are clutch
Bronze|my play afk
Platinum|you my garbo
Silver|thrower uninstall my trash the
Gold|stop save my wp bro play
Diamond|trash garbo useless game bro
Grandmaster|garbo game trash stop play uninstall team
Silver|gg you play glhf team
Gold|are the glhf mid
Bronze|nice play wp are game clean
Gold|the bot team are diff stop
Bronze|mid afk stop you ez
Gold|suck diff stop mid bot bro are
Gold|are bro good nice game
Silver|game afk garbo the useless
Diamond|afk the you bro
Gold|report garbage noob my mid
Gold|quit report ez the play
Diamond|diff thrower the trash mid
Platinum|gg game stop team play wp
Bronze|diff garbo the garbage are
Platinum|useless play game uninstall team my diff
Bronze|you wp are good
Platinum|trash the bro
Gold|the stop wp play
Gold|mid bro suck diff game trash the
Gold|bro wp game gg stop glhf
Gold|nice play save bro
Gold|game wp mid mb
Silver|bro diff game the useless mid
Bronze|garbo are quit report mid
Gold|ez you useless suck my
Gold|mb play mid team save stop
Silver|nice game clean play stop bro glhf
Platinum|report are stop noob play mid
Bronze|are the garbo
Gold|the team mid garbo
Gold|the stop you mid ez
Gold|clean glhf bro mid are stop gg
Silver|you bro team garbo noob
Silver|game trash garbo are
Gold|mb are bro glhf
Gold|team useless bro game quit you trash
Grandmaster|trash ez game play diff mid
Silver|bro uninstall are
Silver|suck the team bro play
Gold|game mid trash the afk you
Silver|team bot you
Grandmaster|my afk play are
Gold|clutch play nice game
Grandmaster|mid bro wp save team
Gold|mid stop uninstall thrower bro
Gold|mid play stop thrower report
Platinum|team suck mid garbage
Silver|my are garbo suck
Gold|mb game clean the
Gold|good game play stop you
Gold|mid team report diff you bro
Diamond|are game diff the
Gold|report ez quit stop team play
Bronze|bro you uninstall ez are stop
Platinum|uninstall are useless stop
Silver|ez quit game play stop
Bronze|ez you bro suck play
Diamond|trash play useless stop thrower
Silver|bro team noob play you report
Bronze|quit my thrower game diff
Bronze|garbo team bro play
Platinum|team stop my are noob diff trash
Diamond|mid thrower game
Platinum|play team bro nice you clean
Bronze|mid game quit
Gold|my you mb glhf clean
Gold|play mb nice mid
Silver|trash are play suck bot team mid
Bronze|suck my you trash thrower
Gold|stop team noob are the bot
Silver|stop are ez report you trash bro
Gold|useless you game the team bot garbo
Diamond|bro garbage play quit team game
Gold|garbo are the team bot ez
Silver|the useless my trash
Bronze|you my clutch play clean
Gold|ez play mid the my bot
Bronze|my gg you are
Celestial|the you quit stop game
Platinum|game you quit team
Bronze|you the play garbo team
Silver|mid team game bro suck
Silver|you stop team clutch my
Diamond|suck game noob mid
Silver|game the useless report thrower
Silver|are mid stop bro thrower
Platinum|the you stop clutch my gg nice
Platinum|afk ez game my bro play noob
Diamond|ez the bro
Platinum|clean clutch game bro are
Diamond|the stop garbage game garbo
Gold|team clean clutch game
Platinum|good team are mid
Diamond|stop mid thrower
Gold|bot suck game the ez
Grandmaster|mid bot game
Diamond|stop my afk mid trash play
Grandmaster|my diff suck you
Bronze|stop you wp my clean good team
Silver|garbo stop bro uninstall are the
Diamond|play ez my report team uninstall
Bronze|stop uninstall diff team
Silver|suck stop game
Gold|game you bro are clean
Silver|team stop are trash suck thrower the
Diamond|noob game thrower bro
Gold|clutch play you
Gold|my play bro nice mid
Bronze|mid team noob thrower ez
Diamond|game my team the glhf
Gold|the play are game wp
Gold|nice save game the my you
Gold|uninstall garbage stop game bro thrower
Gold|noob my play are trash the
Silver|stop game bro clutch
Bronze|mb stop game
Platinum|play team thrower report bro
Silver|are the uninstall bro trash my noob
Silver|game ez are team
Silver|garbo mid game
Platinum|mid my gg stop
Platinum|thrower bro game stop mid bot suck
Platinum|bro my team game trash
Gold|bro wp game are team save clean
Celestial|team mid diff useless
Platinum|good team you bro wp mid
Gold|team afk diff quit play you
Platinum|the you bot stop diff
Diamond|clutch game wp play
Gold|stop gg save mid
Bronze|good the mid clean
Diamond|useless thrower game bro the play
Gold|play bro you mb
Silver|bro my stop uninstall
Bronze|bro garbage my
Silver|are team you quit stop
Diamond|play bro the uninstall game
Gold|are bot team useless noob
Gold|mb game gg bro are
Bronze|trash team afk you stop useless
Gold|game mid ez useless
Bronze|stop my play thrower bro
Bronze|are report my garbage bro
Diamond|game suck my
Gold|mid mb my
Silver|you mid afk garbo my play
Silver|trash bro the game
Celestial|team wp nice save my mid bro
Platinum|play bot quit stop
Diamond|are mid you mb
Platinum|mid bot ez useless game
Grandmaster|quit team game the
Platinum|the mb team glhf game
Diamond|garbage the quit stop
Platinum|the play wp bro mb
Diamond|stop noob you
Gold|mid good are
Platinum|are my mid quit garbage afk
Platinum|useless stop quit you
Gold|play my clutch mid the gg
Gold|garbo thrower team useless are stop
Bronze|wp game you
Platinum|mb game nice you the are
Silver|you trash my game thrower bro
Silver|the diff suck game quit
Bronze|trash suck stop you game
Gold|ez garbo afk bro my are
Silver|suck bro game the my
Silver|you mb play clutch
Gold|mid uninstall you team
Gold|my play uninstall garbage bro team
Silver|team suck game are diff
Bronze|garbage play the
Silver|you ez mid play garbo bot
Silver|stop trash play report
Bronze|ez game team garbo bro play
Silver|are gg bro the game
Grandmaster|you garbo suck game diff
Silver|you bro garbage my the
Silver|suck useless stop my team quit
Gold|afk you noob team useless mid
Silver|the are you my nice clutch
Silver|team ez mid trash diff bro
Gold|stop the report mid
Bronze|are wp glhf bro
Grandmaster|stop thrower bro bot my
Silver|bro thrower play afk
Gold|diff you my mid
Grandmaster|game thrower garbage quit mid
Silver|afk my bro team noob
Silver|play are mb game my clutch
Silver|play you mid afk
Gold|game useless the suck team trash
Gold|game the stop ez thrower
Platinum|game mid team mb nice
Silver|quit bro afk the game useless mid
Diamond|team thrower useless game
Gold|glhf bro clutch stop are
Diamond|suck are bot mid
Gold|stop game garbo thrower
Silver|ez team you play are
Bronze|mid team diff suck bot
Gold|the game are nice
Gold|are you stop nice game
Diamond|game the mid nice wp team
Bronze|game my garbo the useless stop
Grandmaster|the trash diff mid
Gold|the team game clutch
Gold|glhf the play game clutch team wp
Silver|trash are play bot my
Gold|the bro nice good team wp my
Bronze|the quit game
Gold|stop good play
Bronze|team nice play bro my
Silver|garbo trash game the afk
Gold|thrower bro quit are the trash
Bronze|report my play team
Gold|clutch game the team
Silver|bro trash quit useless the
Gold|the bot mid
Bronze|team ez game
Diamond|afk my bro report trash
Gold|save clutch game gg play
Silver|mid garbo the uninstall play my
Gold|mid diff quit are report
Platinum|play bro wp stop mb game glhf
Grandmaster|uninstall garbage stop ez bro the
Gold|team gg play
Diamond|trash garbo stop the you are
Gold|mid nice glhf game
Gold|good game team bro stop save
Silver|play thrower my garbage garbo
Gold|game bro play afk garbo team
Platinum|game bro mid garbo are thrower suck
Silver|stop thrower afk team the
Platinum|stop play clutch bro
Platinum|play nice game you mb my
Gold|afk the you stop
Grandmaster|noob the bro
Bronze|useless team uninstall afk game
Silver|noob team mid my
Gold|wp are play mid
Silver|are garbo mid afk ez
Gold|are play bot uninstall
Platinum|garbage useless my game play uninstall bro
Diamond|you useless stop game suck
Gold|are team clutch play
Silver|you are game garbo mid bot
Silver|wp team save play you
Diamond|my diff are stop game bot noob
Bronze|uninstall are stop
Diamond|bro game you suck
Silver|noob are stop my
Silver|you trash report my thrower play team
Silver|mb gg mid game clutch
Gold|clean game team gg
Platinum|mid the mb you stop
Gold|team noob garbo report stop game you
Grandmaster|bro noob afk ez play stop
Grandmaster|clean mb gg bro you the are
Bronze|bro are trash the
Gold|play stop glhf clean nice bro
Silver|you the diff
Silver|mid clean are
Gold|are team nice gg save you
Bronze|ez are play team garbo noob
Bronze|play suck are
Gold|afk are noob you
Gold|the my mb you
Gold|wp good play team the
Gold|suck bro mid are play
Silver|mid stop you trash the
Diamond|play trash mid stop are
Platinum|bro wp game my
Silver|mb game are bro stop
Silver|play you garbage the stop
Gold|mid my report the are uninstall
Silver|game stop team nice
Bronze|are mid trash
Bronze|garbo game the bot useless
Gold|useless noob uninstall the team
Silver|clean nice you are
Silver|are you the mb my
Bronze|are trash stop play the diff quit
Gold|bot suck mid the trash
Gold|you my diff play afk uninstall
Platinum|mid game team nice
Gold|ez my uninstall garbage mid
Gold|save clean are game clutch my
Gold|game are my wp clean
Gold|stop you play bot
Silver|team noob stop
Grandmaster|team stop the are useless
Gold|game are bot uninstall
Platinum|my nice gg stop bro game
Silver|suck you my mid
Diamond|are stop the afk mid diff
Gold|are the stop report quit
Diamond|the team are you bot suck ez
Gold|are play gg clutch nice bro game
Silver|report mid the play ez you
Silver|mid are report
Bronze|my useless uninstall diff the
Gold|the stop bro uninstall
Silver|game glhf stop
Silver|clutch clean you save game
Platinum|game afk diff mid
Bronze|trash noob are mid play
Silver|wp play team you
Gold|team noob the are mid
Grandmaster|the bro are mid quit
Diamond|the are quit my bro
Silver|report stop mid suck
Diamond|stop bot game report useless play the
Gold|the team clean you
Gold|team the you quit are
Platinum|the useless are mid stop
Silver|gg are stop play nice
Silver|you game gg bro the
Silver|wp play good the team you gg
Bronze|suck you play are ez garbo
Diamond|bro useless team game mid
Bronze|team bro report useless the garbage
Diamond|my nice bro game
Platinum|team the clutch mb
Grandmaster|game save you nice
Silver|garbo you mid stop game
Gold|save stop mid gg
Platinum|game the trash stop team afk
Gold|diff afk game ez my the bro
Diamond|mid garbo trash report the bro
Diamond|play ez suck mid
Gold|wp bro play gg team are
Platinum|garbage team are my
Diamond|report mid bro diff my
Platinum|play you nice glhf team wp are
Diamond|are game mid garbo ez
Gold|team the gg my wp mid
Celestial|uninstall are the stop bro
Platinum|play suck you
Platinum|bro wp mid clean clutch stop
Grandmaster|game report you quit useless
Silver|bro nice you
Grandmaster|bro game good stop team
Gold|trash stop play the
Gold|mb stop clean you
Bronze|bot are mid trash team you
Bronze|thrower afk bro the
Bronze|mid save gg you bro team clutch
Gold|bro wp team my game
Gold|are game play quit stop
Gold|play team garbage the useless
Platinum|my team glhf
Silver|stop play suck are noob
Platinum|mid stop my nice the
Diamond|afk bro ez are
Bronze|gg play game clean mid my nice
Bronze|thrower garbage the play game are
Gold|noob stop are bot garbo bro
Silver|bro team stop mb
Bronze|stop the bro ez
Silver|mid useless trash you bro stop noob
Bronze|the bot game bro
Gold|play mid diff game my
Diamond|play garbage thrower are afk
Platinum|gg glhf bro clean the you my
Diamond|clean mid bro clutch team stop
Platinum|mid the team good you glhf gg
Silver|quit noob mid garbo you
Silver|garbage bot are my trash play the
Platinum|bro my nice game mid
Silver|you noob mid stop game afk report
Diamond|diff mid play
Bronze|good team play glhf are
Gold|my save bro
Silver|trash the suck my game
Silver|stop the good glhf
Platinum|my glhf are
Platinum|mb my game are mid
Silver|gg wp my the
Silver|useless bro game my bot quit
Gold|are you clutch stop
Platinum|you team my clutch wp
Silver|ez game you the team
Gold|report are the
Gold|good bro are gg
Silver|stop glhf my
Silver|bro my are garbo
Gold|mid uninstall my the
Silver|are stop garbage my ez trash
Diamond|mid diff team uninstall
Celestial|clean game bro stop gg
Gold|noob my team
Diamond|garbage bro report team
Gold|stop mid good
Bronze|diff mid game stop garbage play
Platinum|useless garbo bro play thrower
Bronze|are you useless game stop
Gold|are clutch stop my play
Silver|team play bro stop useless
Grandmaster|thrower stop play you
Silver|team mid useless
Silver|team nice clutch mid save play
Gold|team bro report stop play
Bronze|ez afk bot you mid
Silver|stop mid good you
Silver|team mid you ez
Platinum|mid bro clutch the
Silver|game the useless mid
Silver|bro mid glhf clutch game are
Silver|the mid diff
Platinum|team clutch stop good gg bro game
Silver|bro you my garbage play garbo
Bronze|garbage useless garbo you play
Gold|trash stop mid
Gold|garbage play suck thrower are stop
Silver|mid bro are stop gg
Silver|bro trash afk you
Silver|garbage mid team you
Gold|noob you are stop
Gold|team bro garbage you garbo ez
Gold|are wp game good save
Gold|bro are report mid noob useless you
Platinum|bro bot my play you
Platinum|my mid the stop save
Bronze|team bot you thrower stop
Silver|mid team the play mb
Platinum|the are bro noob
Silver|bot are team mid
Gold|bro are gg my clean
Gold|play report game my
Bronze|glhf play the nice clutch
Gold|useless report noob my stop play
Platinum|diff team you stop the
Platinum|bro the bot mid are
Silver|stop team play the quit
Gold|bro are afk you
Gold|nice gg you save play game
Platinum|mid ez my quit garbo game the
Gold|bro afk mid trash my garbage
Silver|play game ez mid
Silver|you report play quit my team
Gold|play good team my save you mb
Silver|my play stop gg are
Gold|afk mid are team ez
Gold|nice mb are the
Gold|quit ez you play
Bronze|quit uninstall stop ez game
Diamond|noob stop useless afk game bro
Platinum|my thrower play trash garbage
Diamond|my trash diff play suck
Bronze|diff stop you report uninstall
Bronze|play ez are report bot game
Platinum|team play mb bro nice game good
Platinum|stop game mb
Gold|are my game garbage bro
Silver|mid diff stop my you trash
Silver|thrower game my team diff are
Bronze|garbo team bro stop my afk
Diamond|suck diff stop garbage team
Gold|my are the nice glhf
Gold|team useless are mid report
Bronze|good team play mb you the clutch
Silver|suck bot play stop
Diamond|trash uninstall garbo play team my bro
Platinum|mid diff game
Grandmaster|mid my ez the bot
Silver|are play glhf save team stop
Bronze|are uninstall stop game
Gold|diff thrower are my team play
Silver|wp are team mb mid clean
Gold|gg the game
Gold|wp gg mb the are
Gold|uninstall mid play game stop garbage garbo
Gold|nice mb you mid the gg
Platinum|play noob are bro quit mid
Gold|wp stop nice play clean
Gold|you mb good play bro
Gold|you my good wp
Platinum|are clean mid save my bro
Gold|my the nice are mid
Silver|ez bot diff are my stop
Gold|game trash the bot bro
Platinum|ez game my
Silver|glhf my bro
Diamond|team uninstall thrower garbo you
Grandmaster|mid play the garbo afk
Gold|you diff the report trash bro
Gold|wp mb clutch play mid my
Gold|my team garbage game noob
Gold|you gg game my
Silver|mid garbo play trash
Gold|mid team diff game garbo you garbage
Diamond|mb the are
Diamond|play clutch are you team
Silver|the my afk trash
Gold|the garbo ez stop you
Gold|bro play game team report
Diamond|play bro suck my quit
Bronze|clutch mid team save nice my stop
Diamond|trash suck the garbage bro stop
Platinum|the bro wp gg my
Silver|noob my play quit
Gold|garbo game quit the my trash play
Gold|mid team you are afk
Silver|bot mid bro game team
Bronze|stop are clutch
Gold|suck ez report mid game my
Diamond|bro trash noob team stop are bot
Gold|are mid bro nice team
Silver|stop good clutch clean my
Silver|you report game
Silver|are garbage the you
Gold|stop team save mb
Platinum|mid garbage are
Diamond|stop useless bot the
Gold|team mid suck bro
Silver|play clean gg you clutch bro
Grandmaster|team play bot noob stop uninstall
Gold|play bro ez suck team the
Diamond|the noob are game play
Silver|trash report my are
Platinum|play wp glhf my game you gg
Platinum|team mid glhf are clean the clutch
Gold|game play the noob
Gold|play ez mid my noob suck
Gold|you report play useless
Silver|stop suck play
Gold|play mid quit team stop
Platinum|my stop bro uninstall game
Gold|quit play garbo game thrower
Diamond|are bro play mb
Gold|the stop play glhf you
Bronze|ez bro team my thrower the
Gold|are mid thrower stop play suck
Platinum|wp are bro glhf clean
Gold|mid stop glhf bro save my
Platinum|my good play save
Gold|you my clean glhf stop team
Gold|wp play save bro mid my
Platinum|you stop the useless
Diamond|noob diff report mid bro
Silver|team report stop
Silver|quit stop bro the thrower game
Bronze|quit my game
Diamond|are mid garbo team
Gold|stop the uninstall quit you game bot
Silver|the game play thrower team
Silver|garbo mid are you ez game
Bronze|you stop trash mid
Gold|my noob are garbage bot bro game
Gold|game my garbage useless report stop you
Bronze|team are afk diff bot bro you
Gold|bro ez stop garbage you game
Diamond|diff are suck bro you play
Silver|uninstall play mid stop
Bronze|my thrower noob the garbage
Silver|trash my ez stop noob
Diamond|useless quit are game
Bronze|useless play garbage team bot
Gold|gg bro are clutch clean team the
Platinum|uninstall bro team
Platinum|team suck play stop
Silver|bot play diff ez stop
Silver|thrower garbage bot my mid
Gold|useless are the
Gold|mid team suck
Platinum|noob my team play
Silver|diff bro you uninstall game are suck
Diamond|gg wp my save team
Gold|report are mid bro garbage useless the
Silver|trash you noob stop
Bronze|game mid the clean clutch
Platinum|save team my gg nice
Bronze|you the are mb
Diamond|you team bro noob
Gold|the my quit trash
Silver|play you mid glhf bro gg clutch
Bronze|afk stop trash play are
Platinum|mid play glhf wp
Grandmaster|wp the are stop
Silver|stop ez useless quit my game
Bronze|useless stop team bro
Silver|mb nice mid team
Gold|bro useless afk suck stop my mid
Gold|suck the bro mid
Gold|quit game bro you team
Diamond|are quit garbo my noob
Silver|mid you the play garbage
Gold|clutch clean good team game
Gold|game are afk team
Diamond|noob stop afk mid suck play are
Silver|trash bro the garbo
Bronze|team clean bro are clutch stop good
Diamond|bro noob are the afk
Gold|you are wp save clean
Gold|noob stop bro you
Gold|stop mb you team bro nice
Gold|my uninstall the mid
Gold|game ez play bro stop
Gold|are mid clutch clean
Platinum|save game the good
Grandmaster|my ez report play mid team
Silver|save you bro mid good game
Silver|stop team diff game you
Gold|game team bot mid you garbo
Bronze|the trash afk bro useless
Gold|noob useless stop garbo are
Silver|play ez noob bot bro
Celestial|you are afk garbo my mid useless
Gold|glhf play are mid game
Celestial|bro thrower noob team you uninstall
Gold|garbage bro play my game
Silver|noob my play garbo game stop
Bronze|quit noob the mid suck
Platinum|game wp you my are save good
Platinum|bro the ez
Gold|good the you
Gold|mid stop team game garbo
Platinum|clutch game stop play
Bronze|team stop gg game are
Gold|game quit bro team thrower
Silver|mb game play are team clutch
Silver|team uninstall you bot
Diamond|bro you garbage team uninstall game thrower
Gold|uninstall report team mid garbo my
Gold|bro the report trash bot stop you
Bronze|mid are you useless thrower report bro
Silver|team bro stop clutch the glhf
Gold|diff game ez play useless
Silver|useless bro mid
Gold|you stop uninstall game
Platinum|bro mb my
Diamond|bro team my bot stop
Diamond|bro diff mid play are thrower
Bronze|suck team thrower stop play
Gold|my mid clutch team
Platinum|are team report garbage play ez
Silver|the noob garbo bro are
Silver|noob game are
Diamond|thrower the bot mid diff bro
Gold|clean my stop
Diamond|stop quit bro uninstall
Platinum|good my are
Silver|the bro nice
Silver|are garbage afk garbo mid
Grandmaster|bro useless are garbo the
Gold|you useless garbage play mid game
Silver|ez game garbage report play mid
Silver|play glhf game
Grandmaster|clean mid wp game glhf
Platinum|stop you nice
Platinum|are wp the clutch save
Gold|team bot report are noob
Gold|my play team glhf
Gold|stop ez bro
Bronze|you thrower team
Bronze|team quit game play mid
Gold|noob stop mid useless bro
Bronze|my play ez are
Bronze|you glhf bro clean nice
Silver|bro wp the
Platinum|team mid bro are mb
Bronze|play bot garbo bro trash
Silver|useless stop my play
Platinum|you good glhf team
Platinum|team game diff useless bro the ez
Bronze|you ez bro
Silver|mid useless team garbo bot
Silver|stop garbo useless ez team play
Platinum|the are gg bro glhf clean
Silver|mb my are bro
Platinum|the stop ez team suck
Platinum|garbage the game trash play suck
Bronze|mid play the report ez are
Diamond|stop game my afk you
Platinum|the useless game my mid
Silver|play stop nice bro team clean
Gold|wp clean team game stop glhf my
Platinum|play useless team you noob uninstall mid
Silver|gg you game
Silver|play clutch clean mid
Silver|you play useless bro noob
Silver|game the you diff stop garbage
Silver|wp play are game
Silver|noob my the trash ez
Platinum|my bro save stop team wp gg
Silver|thrower bro game play
Gold|gg nice are game
Gold|the bro garbo trash my
Silver|mid uninstall my report are trash
Gold|bro garbo play thrower team are trash
Platinum|team bro bot garbo the
Grandmaster|afk suck bro team
Gold|the save you game nice are clean
Bronze|thrower team afk report mid the
Bronze|team mb bro save the
Silver|team my the nice save stop
Gold|play clutch my game
Silver|nice are mid
Gold|save bro game wp you
Gold|nice my play bro team
Silver|save my mid glhf are clean
Grandmaster|noob my mid quit bro game garbo
Platinum|team bro clutch mb clean you
Bronze|game you team trash report noob
Silver|mb mid clean the clutch
Gold|mid are my bro garbo
Silver|the mb gg stop bro game
Gold|ez stop team are afk garbo play
Bronze|play noob the quit
Gold|game are stop afk play
Platinum|bro nice clean stop
Platinum|mb play mid you
Silver|team stop mb good the you wp
Celestial|glhf the my clutch mb play
Gold|mb mid bro clean
Silver|mid clean the play gg good
Gold|stop you noob play diff mid
Bronze|nice my team
Bronze|are useless play
Bronze|bro thrower suck mid ez
Bronze|play diff game are noob quit
Diamond|report the are play
Diamond|team you mb
Gold|mid are team suck you afk garbo
Gold|thrower play you mid my
Platinum|are the quit garbage
Silver|team useless my are
Silver|save gg clutch game you
Gold|bro game mb save clutch
Silver|the mb you nice are
Gold|clutch are stop team you mb gg
Gold|game suck team play
Silver|you play wp stop game
Silver|noob trash garbage are stop
Grandmaster|mid report are
Platinum|play trash are you garbo team useless
Gold|stop are suck
Gold|mid save you are
Bronze|bro stop the mb game gg
Silver|game you the useless trash quit are
Platinum|mb team are nice
Grandmaster|thrower team the stop game uninstall suck
Bronze|the thrower uninstall bro afk you
Gold|nice mid clean you bro
Silver|team mid are my afk
Diamond|diff the noob garbage my
Gold|save mid gg team are
Silver|save bro my play mid nice
Gold|mid team bro play save
Silver|the bro uninstall play suck
Silver|ez game you useless diff
Platinum|you wp game good my glhf
Gold|play are garbage game
Platinum|stop nice gg clean are
Silver|my you are team quit bot
Bronze|game diff suck play ez my team
Gold|bot team report garbo stop are
Bronze|suck game bro uninstall play
Silver|my bro trash game garbage
Gold|are my garbage mid you ez
Gold|mid are uninstall team diff the
Silver|are ez the afk team garbage
Platinum|team diff my are bro
Gold|ez you my bot garbo
Bronze|quit thrower the afk team
Bronze|mid trash stop diff are
Diamond|are mid suck
Gold|the game quit
Platinum|are nice the play bro
Gold|afk play my garbage
Gold|diff the mid you
Gold|my bro nice clean gg
Platinum|mid the game clutch wp stop
Diamond|game clean glhf the you play good
Gold|are diff play the
Silver|my quit bro
Gold|uninstall you stop game play
Silver|quit you mid are my
Gold|you are the glhf
Platinum|play mid save bro
Platinum|the nice play
Silver|noob the useless bro stop my
Bronze|are afk quit trash play
Bronze|team report play
Silver|game bot stop
Gold|quit bro team ez
Grandmaster|stop garbage my mid useless
Platinum|you my clean team mb mid
Diamond|you the my good mb bro
Bronze|garbo thrower game afk my
Bronze|you my team good gg bro
Silver|play bro clean team the
Platinum|noob bro you bot
Bronze|useless the stop bro uninstall noob
Diamond|the noob game quit team you
Gold|are suck my mid play
Diamond|you my garbo mid quit
Silver|garbo are team you
Celestial|mid you useless team
Silver|quit the garbo mid my are
Silver|save stop my
Silver|glhf gg mid team game clutch
Gold|the wp bro clean
Gold|you diff bro team stop
Bronze|suck stop my garbage report game
Platinum|nice mb team are bro
Gold|useless team you diff
Silver|you team mid clutch stop
Gold|you mid thrower my
Silver|clean game play the bro
Gold|nice team you
Bronze|uninstall trash stop game garbo team
Platinum|stop mid my mb clean good
Diamond|play stop report are team
Silver|gg glhf clutch stop you
Gold|bro game bot the
Silver|afk the play garbo you report game
Gold|team gg the my
Platinum|stop gg nice bro are
Diamond|stop you the game garbage
Silver|the my diff mid trash you report
Celestial|stop the thrower
Grandmaster|diff play bro game garbo my
Silver|team play are ez stop garbage garbo
Silver|game gg bro clutch the
Gold|the mid team noob trash bro thrower
Bronze|you clean nice stop play mid mb
Gold|bro mid my glhf nice team
Gold|gg mb you bro mid wp
Diamond|are thrower bro
Bronze|play mid uninstall garbage useless team are
Silver|trash you game my
Gold|nice the mb mid
Platinum|clutch mid are the you
Bronze|team good you gg mid play
Silver|good team are bro gg nice
Gold|play useless the diff
Gold|report are quit bro trash
Gold|trash team afk my you bro
Silver|are save good stop
Gold|clean you stop
Silver|save nice mid team
Platinum|bro you report are game
Gold|bot the stop mid
Gold|are my glhf save stop clean play
Bronze|trash play the
Silver|diff you are play bot
Platinum|good mb gg you my stop
Gold|the suck quit my thrower
Gold|good play mid clean nice bro
Platinum|mid report useless garbo bro
Platinum|glhf my team nice stop clutch
Gold|wp the stop
Bronze|you uninstall trash garbo are game play
Diamond|the stop mb clean game you
Gold|team you play nice the
Gold|are the wp clutch clean
Bronze|noob useless the you game mid
Gold|game stop play glhf you
Bronze|team report bro useless garbage
Gold|play gg glhf stop
Platinum|team bro the nice stop clutch good
Diamond|my you play game bot
Platinum|glhf play team save
Silver|my noob team
Silver|good you game clean play bro save
Silver|thrower mid bro
Bronze|quit my useless you
Gold|the bro my team diff afk quit
Platinum|play mb the
Bronze|my bro the ez quit
Gold|bro trash game noob suck
Diamond|team glhf bro mid play
Platinum|clean nice game you glhf are
Platinum|the clutch you clean are
Platinum|are uninstall noob ez stop my
Silver|game mid bro good team
Platinum|stop you the clean
Diamond|are useless stop
Gold|mid play bro trash
Gold|team my good
Gold|useless trash afk stop the my play
Silver|trash useless uninstall stop you
Platinum|clean team bro play
Bronze|wp nice are bro my gg
Celestial|good mid game nice the bro
Gold|you report useless the
Diamond|play the glhf
Gold|suck garbage my bro trash
Gold|you are ez afk mid
Grandmaster|mid team play bot suck ez stop
Silver|you clutch good mid
Silver|stop team the are thrower garbage
Silver|play ez my
Grandmaster|game the save bro you
Silver|uninstall my are afk
Gold|noob game you suck
Bronze|garbage garbo my stop you trash
Silver|quit are you garbage my noob
Gold|the uninstall you play
Bronze|you diff are
Silver|clean my bro good
Bronze|the diff you noob bro uninstall
Silver|mid my uninstall thrower are
Grandmaster|diff the play trash mid report
Bronze|play save stop team game
Gold|team thrower afk useless the
Bronze|bro report play game
Celestial|glhf stop nice save bro team
Gold|are the you save stop
Gold|play nice game
Diamond|suck garbo are report you game
Gold|useless afk ez my are play game
Silver|trash quit team you garbage
Silver|are bro mb
Diamond|noob you are the uninstall stop
Silver|are team trash report afk
Silver|you stop play the good
Bronze|afk ez my team
Diamond|the uninstall bro ez play
Silver|are good clean mid
Bronze|thrower bro play trash bot stop
Platinum|you nice game mb
